titre_du_document;titre_secondaire;type_de_document;auteur;lieu_d_edition;editeur;annee_d_edition;isbn;issn;langue;collation;collection;numero_de_collection;cote;mots_cles;volume;numero_de_parution;date_de_parution;date_de_derniere_mise_a_jour
Les finances locales;;Ouvrage;BOUVIER Michel;Paris;LGDJ,Lextenso éditions;2018;978-2-275-06094-1;;;286 p.;SYSTEMES;;272 BOU;FINANCES LOCALES/COLLECTIVITES LOCALES/GESTION FINANCIERE/FISCALITE LOCALE/IMPOT LOCAL/DOTATION GLOBALE DE FONCTIONNEMENT/DOTATION GLOBALE D'EQUIPEMENT/DOTATION/CONTROLE DE GESTION/CONTROLE DE LEGALITE/CONTROLE DE REGULARITE/CONTROLE SYSTEMIQUE;;;;2018-10-26
Ce que le sport change à la ville;;Dossier;Collectif;Nantes;Association Mémoire et débats;2018;;1955-6020;;p.5-55;;;63 COL;SPORT/NANTES /SPORTIF DE HAUT NIVEAU/SPORT PROFESSIONNEL/SPORT AMATEUR/BASKET/STAPS/YELLOPARK;;N°67;été 2018;2018-03-10
Attaché territorial/principal;Catégorie A.;Ouvrage;DRAPP Christine/DARIC LAPIERRE Florence;Malakoff;Foucher;2018;978-2-216-14807-3;;;156 p.;PASS CONCOURS;;252 DRA;CONCOURS/CONCOURS ADMINISTRATIF/CONCOURS DE CATEGORIE A/ATTACHE TERRITORIAL/ATTACHE TERRITORIAL PRINCIPAL/FONCTION PUBLIQUE/DECENTRALISATION/COLLECTIVITES LOCALES/ELU LOCAL/COMMANDE PUBLIQUE/DROIT DE LA FONCTION PUBLIQUE;;;;2018-09-25
30 ans de démocratie régionale : des régions pourquoi faire ?;;Ouvrage;;Paris;Berger-Levrault;2018;978-2-7013-1978-0;;;244 p.;AU FIL DU DEBAT;;245 PAS;REGION/REGIONALISATION/DEMOCRATIE/POLITIQUE REGIONALE/CONSEIL REGIONAL/ELU REGIONAL;;;;2018-07-25
Les collectivités territoriales en fiches et QCM;Cat. A, B, C;Ouvrage;MEYER Odile;Paris;Dunod;2018;978-2-10-077597-2;;;249 p.;J'INTEGRE LA FONCTION PUBLIQUE;;24 MEY;COLLECTIVITES TERRITORIALES/CONCOURS/CONCOURS ADMINISTRATIF;;;;2018-07-06
Réseau social d'entreprise;Mettre en oeuvre, animer, et pérenniser la communication en mode réseau;Ouvrage;LUNGU Virgile;Paris;GERESO EDITIONS;2018;978-2-359-53544-0;;;237 p.;L'ESSENTIEL POUR AGIR;;732 LUN;RESSOURCES HUMAINES/RSE/RESEAU SOCIAL D'ENTREPRISE/COMMUNICATION INTERNE;;;;2018-05-04
La souveraineté numérique : le concept, les enjeux;;Ouvrage;;Paris;MARE&MARTIN;2017;978-2-8493-4324-1;;;239 p.;DROIT PUBLIC;;221 TUR;DROIT CONSTITUTIONNEL/SOUVERAINETE/INTERNET/NUMERIQUE/SOUVERAINETE NUMERIQUE/DROIT PUBLIC;;;;2018-03-16
Manager une équipe projet;;Ouvrage;SOTIAUX Yves;Le Mans;GERESO EDITIONS;2017;978-2-359-53532-7;;;243 p.;DEVELOPPEMENT PERSONNEL & EFFICACITE PROFESSIONNELLE;;1414 SOT;RESSOURCES HUMAINES/TRAVAIL EN EQUIPE/MANAGEMENT D'EQUIPE/MANAGEMENT DE PROJET/MANAGEMENT PAR PROJET/EQUIPE PROJET;;;;2018-01-26
La DATAR : 50 ans au service des territoires;;Ouvrage;Collectif;Paris;La Documentation française;2016;978-2-11-145147-6;;;245 p.;;;310 COL;AMENAGEMENT DU TERRITOIRE/DATAR/CIAT/GUICHARD OLIVIER;;;;2017-08-11
Territoire frugal : la France des campagnes à l'heure des métropoles;;Ouvrage;;Genève;MetisPresses;2017;978-2-940563-17-3;;;251 p.;vues Densemble;;314 BRE;AMENAGEMENT DU TERRITOIRE/AMENAGEMENT RURAL/ESPACE PERIURBAIN/FRANCE/CAMPAGNE/FRUGAL/POLITIQUE D'AMENAGEMENT DURABLE/URBANISATION/ESPACE RURAL;;;;2017-10-24
La culture territoriale en 60 fiches;;Ouvrage;FAIVRE Emmanuel/GRAOUER Caroline/GAILLARD Brice;Paris;Ellipses;2017;978-2-340-01812-9;;;285 p.;OBJECTIF FONCTION PUBLIQUE;;24 FAI;ADMINISTRATION/ADMINISTRATION TERRITORIALE/ACTION LOCALE/ACTION PUBLIQUE/CULTURE TERRITORIALE/CONCOURS/CONCOURS ADMINISTRATIF/REPARTITION DES COMPETENCES/TRANSFERT DE COMPETENCES/AMENAGEMENT DU TERRITOIRE/DEVELOPPEMENT DURABLE/DECOUPAGE TERRITORIAL/MANAGEMENT PUBLIC TERRITORIAL;;;;2017-05-10
Regards sur la France d'hier à aujourd'hui;;Ouvrage;BORNE Dominique/FEIERTAG Olivier/GOETSCHEL Pascale/REGHEZZA-ZITT Magali;Paris;La Documentation française;2017;978-2-11-145279-4;;;206 p.;DOC'EN POCHE;;12 BOR;SOCIETE/HISTOIRE/HISTOIRE CULTURELLE/FRANCE/HISTOIRE ECONOMIQUE/GEOGRAPHIE;;;;2017-06-29
Droit de la fonction publique;;Ouvrage;MELLERAY Fabrice;Paris;Economica;2017;978-2-7178-6925-5;;;457 p.;CORPUSDROITPUBLIC;;25 MEL;INSTITUTIONS/ADMINISTRATION/FONCTION PUBLIQUE /DROIT DE LA FONCTION PUBLIQUE/FONCTIONNAIRE/AGENT PUBLIC/HISTOIRE/STATUT DE LA FONCTION PUBLIQUE/DROITS ET OBLIGATIONS /CARRIERE PROFESSIONNELLE;;;;2017-06-22
Présence française dans le monde;L'action culturelle et scientifique;Revue;LANE Philippe;Paris;La Documentation française;2016;;1763-6191;;;ETUDES DE LA DOCUMENTATION FRANCAISE (LES);;832 LAN;VIE INTERNATIONALE/CULTURE/ACTION CULTURELLE/ACTION PUBLIQUE/DIPLOMATIE/RECHERCHE/COOPERATION SCIENTIFIQUE/PROGRAMME MAEDI 21/POLITIQUE EXTERIEURE/POLITIQUE ETRANGERE/COOPERATION CULTURELLE/COOPERATION UNIVERSITAIRE/POLITIQUE DE COOPERATION/COOPERATION LINGUISTIQUE/COOPERATION EDUCATIVE;;N°5426-27;;2016-12-19
L'état de l'école 2016Coûts-activités-résultats30 indicateurs sur le système éducatif français;;Ouvrage format pdf;;Paris;DEPP;2016;;;;75 P.;;N°26;511 DEP;EDUCATION/SYSTEME EDUCATIF/STATISTIQUES;;;;2016-07-12
Toutes les femmes sont des aliens;;Ouvrage;ROSENTHAL Olivia;Paris;Gallimard;2016;978-2-07-017803-2;;;149 p.;MINIMALES;;615 ROS;CULTURE/LITTERATURE/PRIX LITTERAIRE/ESSAI;;;;2016-10-26
La transition énergétique dans les territoires;;Dossier;Collectif;Paris;LexisNexis;2016;;;;p.17-44;SEMAINE JURIDIQUE - ADMINISTRATIONS ET COLLECTIVITES TERRITORIALES;;431 COL;ENVIRONNEMENT/ENERGIE/TRANSITION ENERGETIQUE/COLLECTIVITES TERRITORIALES/SRADDET/ENERGIE RENOUVELABLE/ENERGIE DURABLE/ENERGIE POSITIVE/POLITIQUE ENERGETIQUE/LOI TRANSITION ENERGETIQUE/MOBILITE PROPRE/LOI 2015-992 DU 17 AOUT 2015/VEHICULE PROPRE/COVOITURAGE/CROISSANCE VERTE/PRODUCTION D'ENERGIE/ECONOMIE DE L'ENERGIE/BATIMENT/HABITAT/REGION D'OUTRE MER;;N°42;24-oct-16;2016-11-24
