Auteur(s),Titre,Edition,Date,ISBN
Approche linguistico-mathématique,La Sémiotique formelle du folklore,Contributions de Tudor Bălănescu,1978,1683480177
De Paul Beaulier,Pauline,Harmattan,2005,1187920447
De Jacques Labescat,Guide des examens complémentaires,Lamarre,2008,1178198467
De Stéphane Benhamou,Les années 60 pour les nuls,First,2009,1181494187
De Colette Gouvion,Aveyron,Illustrations de Brigitte Julien,2002,1093936187
Collectif,Qui est dieu ?,Guy Trédaniel,1999,1091049757
De Stig Dagerman,Arriviste (l'),Traduit par Philippe Bouquet,1992,1066066977
De Dario Fo,"Dario Fo.

1 - T1 Dario Fo",Traduit par Toni Cecchinato,1997,1033335027
classées par ordre de difficulté,100 énigmes chiffres et logique / classées par ordre de difficulté,Giovanangeli,2004,1026465697
"De Adam Gallardo, Todd Demong",1 - 100 girls T01,Traduit par Éric Bufkens,2006,1018973257
De Jean Dufau,Les entreprises publiques,Le Moniteur,2000,1654378447
- None00 Topiaires A Faire Vous-Meme,Sculptez vos plantes,Traduit par Jérôme Goutier,1998,1228891867
None,Pogrom,Flammarion,2004,1854813747
De Alessandro Roccati,La Littérature historique sous l'Ancien Empire égyptien,Cerf,1982,1731481337
De Gilles Routhier,La réception d'un concile,Cerf,1993,1731453747
"Jean Deloche, Manonmani Filliozat, Pierre-Sylvain Filliozat, Anquetil Duperron","Voyage en Inde, 1754-1762 : Relation de voyage en pr̩liminaire",Maisonneuve et Larose,1997,1228687507
De Philippe Vial,"Xenia Parvelli, opération Équinoxe",Société des écrivains,2004,1187481727
De Steve Sleight,Internet & l'entreprise,Mango,2001,1092797687
"Volume None3, Volume None3, Volume None3",13 - Arms,Kana,2005,1064202707
Collectif,Chiens et chats littéraires,Dogana,2003,995444887
"De Jean-Charles Kraehn, Giulio De Vita, Frank Giroud",4 - Quintett - Tome 4 - Histoire de Nafsika Vasli - tome 4/5,Dupuis,2006,1135361907
"Cau, Christian",Toulouse 2000 Years Of Art And History,Daniel Briand,2004,1031783727
Dilgo  Khyentsé Rinpoché,Au Seuil de l’Éveil,Padmakara,2001,1028551117
Spencer La Vyrle,Cache-cache amoureux,J'ai Lu,1999,1645459827
"BTS assistant de gestion de PME-PMI,  BTS Nonere & 2e années",études et administrations commerciales BTS assistant de gestion de PME,Nathan,2002,1843709047
De Michel Agier,"Aux Bords Du Monde, Les Refugies",Flammarion,2002,1853399297
De René Khawam,L'Univers culturel des chrétiens d'Orient,Cerf,2012,1731412897
De Armand Jammot,Homosexuels aux dossiers de l'écran,Robert Laffont,1975,1714473297
Fini Leonor,Miroir Des Chats,Éditions Slatkine,2008,1103397457
"la Renaissance et les Lumières, les siècles de plagiat","L'islam, fondateur de la science - la Renaissance et les Lumières, les siècles de plagiat",Al-Bouraq,2006,1093887387
None,Tom est mort,P.O.L.,2007,1088678197
"actes des Journées rurales, 5-7 septembre 2002, Arras, Pas-de-Calais, [Université d'Artois]",Dynamiques agro-industrielles et dynamiques rurales,Dirigé par Christine Margetic,2004,1087180137
Au-delà du genre,"Le genre et la loi.

II, Au-delà du genre - Le genre et la loi, 2",Maison des Sciences de l’Homme d’Aquitaine,1995,1076578257
Philippe Léonard,Les caprices du courrier,Lansman,2006,1062675017
"De Isabelle Stengers, Olivier Ralet","Drogues, le défi hollandais",Empêcheurs de penser en rond,1991,1026898207
De Edouard Manceau,Tic tic la girafe,Frimousse,2007,1023934717
None939-None45,L'attaque vient de la mer,Omnibus,2004,1677435257
De Louis Bédarieux,Le vélo de papa,Préface de Raymond Poulidor,2007,1580200147
De Jean Gavard,gestion financiere des ets scolaires du 2nd degre - 8eme ed.,Berger-Levrault,2001,1234187097
Schmidt/Teller,Holkham /anglais,Prestel,2006,144166147
Voiles au travail en Bretagne atlantique,"4, Voiles au travail en Bretagne atlantique - Ar Vag 4",Glénat Livres,2006,1021291707
"De Paul Fournier, Jean-Pierre Ménard",Gestion de l'approvisionnement et des stocks (2e ed),Gaëtan Morin,2004,1044441607
Winchester Simo,Meaning Of Everything Relie,Oxford University Press,2006,558074029
"De Jean Echenoz, Jérôme Lindon",Lac,Les Éditions de Minuit,1989,1228187247
"Autres contributions de Lydie Koch-Miramond, Philippe Meyer",Les scientifiques et les Droits de l'homme,Maison des sciences de l'homme,2003,1200390337
De Bill Pronzini,"Squelette, fais cliqueter tes vieux os desséchés",Illustrations de Baru,1984,1197846167
Idéalité et détermination,Essai Sur L'Ontologie Kierkegaardienne,Harmattan,2000,1197027297
"histoire, géographie, nature, arts","Villes et villages de France.

80 - Somme - histoire, géographie, nature, arts",Deslogis-Lacoste,1996,1195549487
Lauréat Altadis 2006,Miki Leal,Préface de Mariano Navarro,2007,1192732687
guide officielNoneNoneNone,"OM, guide officiel / saison 2006-2007 : tous les joueurs, tous les matches, toutes les statistiques",Mango,2006,1092794177
De Serge Safran,Epreuves d'origine,Le Castor Astral,2003,1076299327
De David Schickler,Comédie new-yorkaise,Éditions de L'Olivier,2002,1056207297
Surget Alain,Le Chemin Des Elephants,Calligram,2004,1050690357
De Paul Erdman,La panique de 89,Grasset,1987,1689113577
De François Garagnon,Itinéraire D'un Simple Suivi De Le Vagabond-Dieu,Illustrations de Nino Musio,2002,1026097267
"Illustrations de Pierre Brignaud, Carole Lambert",Caillou Mon livre piano - 12 chansons faciles à jouer au piano éléctronique,La chouette,2008,1040993307
introduction critique à l'analyse des systèmes,Systèmes et modèles. Introduction critique à l?analyse de systèmes. Essai,Seuil,1977,1915453907
De Louis CNone Thomas,Une femme de trop,Folio,2000,1865088357
De Georges Liebert,"Ni empereur ni roi, chef d'orchestre",Découvertes Gallimard,1990,1864969147
manteau de neige,Blankets,Traduit par Alain David,2004,1732104207
De Nathalie Valmary,Les meilleurs riz et risottos - 40 Recettes salées et sucrées - Nathalie Valmary,Illustrations de Françoise Nicol,2009,1104789147
Sciences et Philosophie au Xx Siècle,Sciences et philosophie au XXe siècle- L'École de Zurich et le programme surrationaliste,Rue d'Ulm,2005,1206696797
None,Les roses du pardon,Editions La Bruyère,2006,1185498577
De Christopher Vasey,n°44 L'hydrothérapie,Jouvence,2009,995079577
De Amandine Boyer,Ce que vous voyez n'est pas mon corps,Harmattan,2006,1639499167
de la représentation et de son empreinte utopique,L'Image en architecture,Villette,2001,1031960937
une industrie de la santé,Les technologies médicales,Éd. Pradel,1999,1027983657
De Leïla Sebbar,Journal de mes Algéries en France,Bleu autour,2005,1023480987
Stéphane Marcotte,La Coordination des propositions subordonnées en moyen français,Droz,1998,1335497857
De Gilles Legardinier,12 - Martin Mystère - tome 12 La musique diabolique,Pocket Jeunesse,2008,1669317957
De Nicole Lairez-Sosiewicz,vivre l'animation aupres des personnes agees 5e edition,Chronique sociale,2004,1085414997
None,Dragons,Points,2007,1914869107
NoneNone24-None254,Recueil d'actes de Saint-Lazare de Paris 1124 - 1254,"""CNRS Éditions""",2006,1664436717
Jp Dirick,"Une enquête de l'inspecteur Klebs

Inspecteur Klebs T01 Voleur d'humains",Le Coffre à BD,2007,1585429607
"introduction, les personnes, les biens",Droit civil t. 1 introduction,Librairie générale de droit et de jurisprudence,2000,1227894107
Rosa gallica et sa descendance,La Rose de France,Illustrations de Georges Lévêque,1998,1192197777
L'Education pour le développement,Spectre Du Tiers-Monde  Education Pour Le Developp,Harmattan,2002,1187977687
De David Colbert,Les mondes magiques de Harry Potter,Traduit par Philippe Safavi,2002,1093218847
"De Annette Tison, Talus Taylor","Découvre avec Barbapapa

Barbapapa Et Les Formes",Livres du Dragon d'or,2004,1056687747
None,Chronique d'un malheur annoncé / roman,Traduit par Shirine Melikoff,2008,1023813807
une histoire du zéro,À propos de rien : une histoire du zéro,Traduit par Aline Berthomé,2004,1835014997
l'espace pour l'homme,Utopie foncière l'espace pour l'homme,Gallimard,1977,1865202357
un poète,Claude Roy un poète,Édité par Serge Koster,1985,1865159767
Le contrepoint mythique dans « Alcools »,"Mythocritique.

2 - Mythocritique (2)",PUF,1998,1805017137
None,Camping Atlantic,Denoël,2005,1728244197
Filloux Henriette / Roels Iliane,manchots (les),École des Loisirs,1969,1724484597
De Herbert Marcuse,Pour une théorie critique de la société,Traduit par Cornélius Heim,1971,1653199517
Théâtre,Sismogrammes,Harmattan,2007,1639455627
Photocopiable+CD,Anglais initiation CE1 + 2 CD,Retz,2008,1209872557
Collectif,"""Dk 5""""1/4-1200 Ko """"Vert"""" Sans Marque(X10)""",Bertrand-Lacoste,2000,1200211147
actes du colloque européen organisé les 25 et 26 juin None998 par l'Association des théâtres à l'italienne à l'Odéon-Théâtre de l'Eur,Theatres En Ville Theatres En Vie,Harmattan,2001,1197003257
Guirao-Jullien Magdalena,COED NEB Je dessine: les lettres,Père Castor,2008,1854286887
"De Véronique Le Dreff, Jean-Michel Oullion, Stéphane Renault",Bien choisir son école ou sa formation dans le numérique ou l'Internet,L'Étudiant,2007,1089252357
pour une approche éthique,Introduction générale au droit,Presses Universitaires du Septentrion,2003,1076102057
Charlier Jean-Michel,Buck Danny - Tome 1 - Les Japs attaquent,Dupuis,1986,1135388317
De Tania Sollogoub,il y avait un garcon de mon age juste en,École des Loisirs,2008,1724407187
le peuplement musulman au nord de l'Èbre et les débuts de la reconquête aragonaise,La Frontière et les hommes (VIIIe-XIIe siècles) - le peuplement musulman au nord de l'Ebre et les débuts de la reconquête aragonaise,Préface de Pierre Toubert,2000,1228686077
Agnes Rosenstiehl,C'Est Jaune,Gallimard Jeunesse,1989,1865186247
De Camille Focant,La Loi dans l'un et l'autre Testament,Cerf,1997,1731443847
De William Shakespeare,"OEuvres complètes / William Shakespeare.

I - Shakespeare - Tragédies - tome 1 - Editions bilingue Francais/Anglais",Bouquins,2007,1714433407
De Pierre Mabille,Le Miroir du merveilleux,Illustrations de André Masson,1963,1228198547
De Chantal Vallet,Dictionnaire des Télécommunications,Ellipses,1998,1205601847
De Alain Jacobzone,"Angers intelligence d'une ville David, P-ory p",Illustrations de Pierre David,1994,1198184877
le masque et la plume d'un intellectuel en quête de Bretagne,Morvan Lebesque (1911-1970) - le masque et la plume d'un intellectuel en quête de Bretagne,Préface de Bernard Thomas,2007,1092037237
l'infirmière et les médecines différentes,Pour soigner autrement: L'infirmière et les médecines différentes,Lamarre,1990,1085199597
Wagner Otto,Architecture Moderne,Mardaga,1995,1065408217
"Brière, Paule","Attention, parents fragiles / parce que les enfants changent le monde",Boréal,1991,1044977617
De Pierre Rimbert,La Libération de Sartre à Rothschild,Raisons d'Agir,2005,1023393037
Saggio Antonino,Fying Dutchmen,Birkhäuser,2005,171133897
guide des plus beaux sites du monde,L'Atlas du Voyageur,"Contributions de Geoffrey Roy, Nigel Rodgers",2005,112654727
De Madeleine Chapsal,L'Homme de ma vie,Le Livre de poche,2006,1682389067
De David Harris,Des prises sous la neige,Glénat Livres,1993,1212085057
De Bernard Arguello,Saveur Pays basque,Atlantica,2002,1091558487
De Pierre Debuisson,Ah ! La famille !,Art et Comédie,2005,1091275797
Boulet,Competences Methodologiques Cycle 2,Éditions SED,1999,1066563727
None,Open Sesame Big Bird'S Yellow Book: Cassette (American English) (1),Oxford University Press,2006,553808729
Sempé,Bonjour bonsoir,Denoël,1974,1728279077
"partie législative, partie réglementaire, livres Ier, II, III et IV","Code de l'éducation commenté partie législative, partie réglementaire, livres Ier, II, III et IV",Berger-Levrault,2008,1234184127
Contribution à une étude du wagnérisme (None860-2004),"Wagner, une question européenne",Presses universitaires de Rennes,2006,1181997267
None,"Dix jours en mars à Bruxelles Laborde, Françoise",Ramsay,2006,1094352427
De Antonin Louchard,Babyfoot n°39,Thierry Magnier,2003,1091297997
biographie,L'enfer vu du ciel,Blanche éditions,2008,1089218377
"dissidences, résistances, engagements",religion et politique,Édité par Rendez-vous de l'histoire de Blois,2006,1085999067
"De Pierre-Marc de Biasi, Karine Douplitzky","La saga du papier - ""Textures""",Adam Biro,2000,1058898007
fleuve méditerranéen,L'Hérault - fleuve méditerranéen,Presses du Languedoc,1998,1075518397
De Mireille Mirej,"Cheval cité

2 - Incidents De Parcours",Ivoire clair,2007,1021617827
De Marivaux,Le Spectateur français,Postface de Jérôme Vérain,2001,1093444157
De Douglas Kennedy,LA FEMME DU Ve,Traduit par Bernard-David Cohen,2008,1088836427
Patrick Weber,Les reines de France,J'ai Lu,2006,1645148007
Lacroix Benoit,Saint Dominique,Fides,2007,1173374487
"Volume None, Volume None, Volume None",Pension Du Docteur Eon (La) T1,Le Lombard,2001,1131883587
"Collectif, QUAE",Spécial mangroves,Quae,2005,1059354237
homme des Lumières et patriote basque,"Moi, Dominique Joseph Garat - homme des Lumières et patriote basque",Atlantica,1998,1091559347
"De Virginie Aladjidi, Caroline Pellissier",Almanach bric à brac,Illustrations de Claire Franek,2008,1091293177
Lewis Paul,Lewis.Tsurumaki.Lewis : Opportunistic Architecture /anglais,Princeton Architectural Press,2007,1928454109
Les religions afro-brésiliennes à Buenos Aires,Le tango des Orixas,Harmattan,2008,1639487307
MNone Huillet d'Istria,Le Père de Caussade et la querelle du pur amour,Aubier,1992,1234758577
Claude Demissy,Eclats de Vie tome 1 - livre de l'enfant - 6/7 ans,Olivétan,2006,1090379947
De Hans Christian Andersen,Le vilain petit canard,Illustrations de Henri Galeron,2007,1864886717
"De Jean Gervais, Caroline Mérola",Le Concours,Boréal,1998,1044971007
approche comparative des massifs français et étrangers,Tourisme Estival Montagne,ATOUT France (Agence de développement du tourisme),2008,1020284847
De Victor Hugo,Notre Dame de Paris,Illustrations de Jean-Michel Payet,2002,1923494117
Stephen-P Halbrook,La suisse encerclee.,Éditions Slatkine,2000,1884482457
De Jean Pradel,MANUEL PROCEDURE PENALE (11e ed 2002-2003),Cujas,2002,1681466257
De Eric Holder,La Baine,Feryane livres en gros caractères,2007,1095382577
De Bernard Vargaftig,La Véraison,Gallimard,1967,1865235607
De Jean-Paul Clébert,"Provence antique.

3, Aux temps des premiers chrétiens - Provence antique - tome 3",Robert Laffont,1992,1714432677
"De Bénédict Beaugé, Henri Le Roux",Caramel & beurre salé,Le Cherche Midi,2003,1186398637
De François Solesmes,Eloge de la caresse,Libretto,2006,1182598067
Dupa,Cubitus / L'Ami ne fait pas le moine,Le Lombard,1996,1131895917
METHODES ET MANUELS - Tome 2 : Apprentissage de la lecture et méthodes de lecture,"Tome 2, Les manuels d'apprentissage de la lecture - Apprentissage de la lecture",Harmattan,2003,1187963307
Se questionner et questionner,Les sectes en question,Harmattan,2003,1187955937
Des théories à l'éducation civique,Le développement socio-moral,Presses Universitaires du Septentrion,1999,1076104317
"photographie et exotisme, None850-None9None0",Etranges etrangers n°39,Actes Sud,1999,1067959727
Somalie,Le crime humanitaire,Arléa,1993,1065908437
Exley h,parlez-moi d'amour attentif,Exley,2002,1061618937
autobiographie,Déraciné,La Compagnie littéraire,2007,1058668607
