Auteur,Titre,Edition,Date,ISBN
BOUVIER Michel,Les finances locales,"LGDJ,Lextenso",2018,9782275060941
DRAPP Christine/DARIC LAPIERRE Florence,Attaché territorial/principal,Foucher,2018,9782216148073
MEYER Odile,Les collectivités territoriales en fiches et QCM,Dunod,2018,9782100775972
LUNGU Virgile,Réseau social d'entreprise,Gereso,2018,9782359535440
SOTIAUX Yves,Manager une équipe projet,Gereso,2017,9782359535327
Collectif,La DATAR : 50 ans au service des territoires,La Documentation française,2016,9782111451476
FAIVRE Emmanuel/GRAOUER Caroline/GAILLARD Brice,La culture territoriale en 60 fiches,Ellipses,2017,9782340018129
BORNE Dominique/FEIERTAG Olivier/GOETSCHEL Pascale/REGHEZZA-ZITT Magali,Regards sur la France d'hier Ã  aujourd'hui,La Documentation française,2017,9782111452794
MELLERAY Fabrice,Droit de la fonction publique,Economica,2017,9782717869255
ROSENTHAL Olivia,Toutes les femmes sont des aliens,Gallimard,2016,9782070178032
BOUQUILLON Christian,Mutualiser des services RH,Territorial ,2016,9782818610343
GRAINDORGE Joël,Mettre en oeÂ½uvre la Gemapi,Territorial ,2016,9782818610244
SIMMAT Benoist,Atlas de la France du futur,Autrement,2016,9782746742949
DROBENKO Bernard,Introduction au droit de l'eau,EDITION JOHANET,2014,9791091089142
BLAISE Jean/VIARD Jean,Remettre le poireau Ã  l'endroit,de l'Aube,2015,9782815911719
HULOT Nicolas,Osons !,Les liens qui libèrent,2015,9791020903198
CANNELLE Marion/FEDERICI Anne-Laure/GORGET Prunelle,Economie sociale et solidaire : contribuer au développement des territoires,Territorial ,2015,9782818607886
Collectif,"Le partage, une nouvelle économie ?",ESPRIT,2015,9782372340045
BENAHMED DAHO Yamina,Poule D,Gallimard,2014,9782070146994
LAFON Lola,La petite communiste qui ne souriait jamais,Actes Sud,2014,9782330027285
Collectif,Les grandes dates de l'histoire économique et sociale de la France,Alternatives Economiques,2014,9782352400996
KERDRAON Emmanuel,700 tests psychotechniques et de raisonnement logique,Vuibert,2014,9782311200508
VIEL Tanguy,La disparition de Jim SULLIVAN,Les de Minuit,2013,9782707322944
PIERRAT Emmanuel,Le droit d'auteur et de l'édition,Cercle de la Librairie,2013,9782765413851
TIENTEBERG Tom/LEWIS Lynne/NACCACHE Philippe/GALLO JérÃ´me/MAULEON Fabrice,Economie de l'environnement et développement durable,Pearson,2013,9782744076381
DESFORGES Marc/GILLI Frédéric/CORDOBA Vanessa,Territoires et innovation,La Documentation française,2013,9782110092304
OBSERVATOIRE FRANCAIS DES CONJONCTURES ECONOMIQUES,L'économie française 2014,La Découverte,2013,9782707176998
MARE Cyril/,La coopération décentralisée,Studyrama,2012,9782759017256
DELENGAIGNE Xavier,Animer et promouvoir son site web,CFPJ ,2012,9782353070244
LECLERE Jean-Pierre/MARTY Jean-Philippe,Maths et français aux concours C,La Documentation française,2016,9782110102188
ALBERT JEAN-LUC,Fiscalité et personnes publiques,"LGDJ,Lextenso",2012,9782275036083
